Βοηθούσε η θεά Αφροδίτη τον Οδυσσέα?;ΌΧΙ;ΝΑΙ
Βοηθούσε η θεά Αθηνά τον Οδυσσέα?;ΝΑΙ;ΟΧΙ
Πολέμησε ο Οδυσσέας στην Τροία και επέζησε?;ΝΑΙ;ΟΧΙ
Ήταν γιός του Αιόλου ο Οδυσσέας?;ΌΧΙ;ΝΑΙ
Ήταν ημίθεος ο Οδυσσέας?;ΌΧΙ;ΝΑΙ
Ποιόν συνάντησε ο Οδυσσέας στον Άδη?;Τειρεσία;Ορφέας
Ποιός περιμάζεψε τον Οδυσσέα στο νησί των Φαιάκων?;Ναυσικά;Κίρκη
Ο Οδυσσέας ήταν βασιλιάς της?;Ιθάκης;Σπάρτης
Πόσα καράβια του Οδυσσέα καταστράφηκαν σε καταιγίδα?;Έντεκα;Δέκα
Ποια μάγισσα συνάντησε ο Οδυσσέας στο ταξίδι του?;Κίρκη;Καλυψώ
