Ηταν η περσεφόνη θεά?;ΝΑΙ;ΟΧΙ
Οφείλεται η πατουσίαση της περσεφόνης για την καλοκαιρία?;ΝΑΙ;ΟΧΙ
Είχε η περσεφόνη μια κόρη?;ΟΧΙ;ΝΑΙ
Ζούσε η περσεφόνη στον επάνω κόσμο 9 μήνες?;ΟΧΙ;ΝΑΙ
Ήταν η Περσεφόνη σύμβολο της η δάδα?;ΝΑΙ;ΟΧΙ
Ποιος ήταν ο πατέρας της περσεφόνης?;Δίας;Ποσειδώνας
Ποιος ήταν ο γιός της περσεφόνης?;Ζάγρευς;Ερμής
Ποιος ήταν ο σύντροφος της περσεφόνης?;’δωνις;’ρης
Πότε ανεβαίνει η περσεφόνη στον επάνω κόσμο?;Καλοκαίρι;’νοιξη
Πως λέγοταν ο σκύλος - φύλακας της περσεφόνης?;Κέρβερος;Πάνας
